Raw Date,settlement id,Type,order id,SKU,description,Quantity,Marketplace,account type,Fulfillment,Order City,Order State,Order Postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total,,,,,,Size,,,
"Apr 11, 2020 3:01:21 PM PDT",12796321091,Order,113-3842516-7229804,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,MATTOON,IL,61938-2227,MarketplaceFacilitator,32.99,2.06,0,0,0,0,0,0,-2.06,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 11, 2020 4:49:13 AM PDT",12796321091,Order,113-5285257-8843431,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,CINCINNATI,OH,45224-2122,MarketplaceFacilitator,32.99,2.31,0,0,0,0,0,0,-2.31,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 11, 2020 4:53:32 PM PDT",12796321091,Order,111-9764196-7793031,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,BRICK,NJ,08723-6870,MarketplaceFacilitator,32.99,2.19,0,0,0,0,0,0,-2.19,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 11, 2020 6:22:30 PM PDT",12796321091,Order,111-2250450-9409029,Q4-TS23-OSOK,"UVA Hawaiian Shirt (Medium, Blue)",1,amazon.com,,Amazon,CHARLOTTE,NC,28203-6435,MarketplaceFacilitator,39.99,2.9,0,0,0,0,0,0,-2.9,-6.8,-3.70,0.00,0.00,29.49,,,,,,,,,
"Apr 11, 2020 9:05:05 AM PDT",12796321091,Order,113-4388707-4758637,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,REDLANDS,CA,92374-3888,MarketplaceFacilitator,32.99,2.56,0,0,0,0,0,0,-2.56,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 12, 2020 1:41:06 PM PDT",12796321091,Order,114-6971705-2977045,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,Gilbertsville,PA,19525,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 12, 2020 12:11:03 AM PDT",12796321091,Order,114-4440545-6454622,26-28FO-FT48,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Yellow)",1,amazon.com,,Amazon,randolph,NJ,7869,MarketplaceFacilitator,29.99,1.99,0,0,0,0,0,0,-1.99,-4.5,-5.42,0.00,0.00,20.07,,,,,,,,,
"Apr 12, 2020 6:03:23 AM PDT",12796321091,Order,114-1823301-1360233,HK-4BCI-SMTJ,"Hexagon Tile Bulletin Board/Memo Board for Wall, Pastel Tones - 15 Felt Tiles (6"" x 6"" Each)",1,amazon.com,,Amazon,PETALUMA,CA,94952-2254,MarketplaceFacilitator,32.99,2.72,0,0,0,0,0,0,-2.72,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 12, 2020 7:22:39 PM PDT",12796321091,Order,114-6971705-2977045,9T-HGSZ-I5FG,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Blue)",1,amazon.com,,Amazon,Gilbertsville,PA,19525,MarketplaceFacilitator,32.99,1.98,0,0,0,0,0,0,-1.98,-4.95,-5.42,0.00,0.00,22.62,,,,,,,,,
"Apr 13, 2020 10:36:28 PM PDT",12796321091,Order,114-6971705-2977045,26-28FO-FT48,"Cork Board/Memo Board of Hexagon Felt Pads - 24"" x 18"" (6"" x 6"" each-15 Pack) (Yellow)",2,amazon.com,,Amazon,Gilbertsville,PA,19525,MarketplaceFacilitator,59.98,3.6,0,0,0,0,0,0,-3.6,-9,-10.84,0.00,0.00,40.14,,,,,,,,,
